"NOMBRE","LATITUD","LONGITUD","ID_ZONA","ZONA"
"FATIMA","3.46276044783613","-76.5175334849096","1","NORTE"
"POPULAR","3.46897954579485","-76.5111591241609","1","NORTE"
"RIO CALI","3.46033350828954","-76.5253404152284","1","NORTE"
"SAN NICOLAS","3.45845536723969","-76.5258124840125","1","NORTE"
"AMERICAS","3.4634191652463","-76.5253727391587","1","NORTE"
"ANDRES SANIN","3.44332180671126","-76.4839397169372","3","CENTRO"
"TREBOL","3.44351311183983","-76.4961692335708","3","CENTRO"
"PRIMITIVO","3.43722520180155","-76.5174419856083","4","ORIENTE"
"NUEVO LATIR","3.41849359094018","-76.4867977476542","4","ORIENTE"
"SANTA LIBRADA","3.43935260358881","-76.5373915741497","3","CENTRO"
"MANZANA DEL SABER","3.43451925474852","-76.5412485907146","3","CENTRO"
"TEQUENDAMA","3.42300676194683","-76.5471434261955","3","CENTRO"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"GUADALUPE","3.40947826448299","-76.5473633540787","2","SUR"
"PETECUY","3.44845956177583","-76.5277138083573","3","CENTRO"
"ERMITA","3.45297491831844","-76.5313634424706","1","NORTE"
"CENTRO","3.44801119892302","-76.5299371464294","3","CENTRO"
"FRAY DAMIAN","3.44432952204878","-76.5289995551612","4","ORIENTE"
"TORRE DE CALI","3.45653785904349","-76.530548774608","1","NORTE"
"VERSALLES","3.46102029230964","-76.5271282449575","1","NORTE"
"VIPASA","3.47842804681755","-76.5170833721773","1","NORTE"
"ALAMOS","3.48432727284838","-76.5134204226861","1","NORTE"
"MENGA","3.48890402204464","-76.5078521568375","1","NORTE"
"ANDRES SANIN","3.44332180671126","-76.4839397169372","3","CENTRO"
"ANDRES SANIN","3.44332180671126","-76.4839397169372","3","CENTRO"
"SANTA MONICA","3.43453710452703","-76.5138022279781","4","ORIENTE"
"CONQUISTADORES","3.42707920141203","-76.505252686775","4","ORIENTE"
"TRONCAL UNIDA","3.42464409173821","-76.4942797697259","4","ORIENTE"
"CALDAS","3.39364291232397","-76.5458386268414","2","SUR"
"LIDO","3.41840956522489","-76.5482712818292","2","SUR"
"UNIDAD DEPORTIVA","3.41432646569837","-76.5482149554339","2","SUR"
"CAPRI","3.38757205033245","-76.5447785616404","2","SUR"
"BUITRERA","3.37255095327099","-76.5398551705051","2","SUR"
"UNIVERSIDADES","3.36714761458388","-76.52949647924","2","SUR"
"SAN PEDRO","3.45384637947355","-76.5298314123795","1","NORTE"
"PLAZA DE CAICEDO","3.45241065631123","-76.5312831579744","1","NORTE"
"CALIPSO","3.42637638040041","-76.5008350884899","4","ORIENTE"
"SANTA ROSA","3.4472012990992","-76.5297185463893","3","CENTRO"
"FLORA INDUSTRIAL","3.4781226862005","-76.5023704237336","1","NORTE"
"PILOTO","3.46007158443676","-76.52274089766","1","NORTE"
"MANZANARES","3.46604705523872","-76.5134043964274","1","NORTE"
"MENGA","3.48890402204464","-76.5078521568375","1","NORTE"
"TEQUENDAMA","3.42300676194683","-76.5471434261955","3","CENTRO"
"CALDAS","3.39364291232397","-76.5458386268414","2","SUR"
"PASO COMERCIO","3.48842810553395","-76.4937511450849","1","NORTE"
"PASO COMERCIO","3.48842810553395","-76.4937511450849","1","NORTE"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"BRISAS DE MAYO","3.4173891069512","-76.5639109566099","2","SUR"
"TIERRA BLANCA","3.41982088822357","-76.5577452286078","2","SUR"
"LLERAS CAMARGO","3.4215411371745","-76.5610443458133","2","SUR"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"PASO COMERCIO","3.48842810553395","-76.4937511450849","1","NORTE"
"CALIPSO","3.42637638040041","-76.5008350884899","4","ORIENTE"
"CALIPSO","3.42637638040041","-76.5008350884899","4","ORIENTE"
"CALIPSO","3.42637638040041","-76.5008350884899","4","ORIENTE"
"SIMON BOLIVAR","3.39652709064599","-76.5241494534741","4","ORIENTE"
"SIMON BOLIVAR","3.39652709064599","-76.5241494534741","4","ORIENTE"
"UNIVERSIDADES","3.36714761458388","-76.52949647924","2","SUR"
"UJAVERIANA","3.34784992697055","-76.5330053103669","2","SUR"
"CALIPSO","3.42637638040041","-76.5008350884899","4","ORIENTE"
"ANDRES SANIN","3.44332180671126","-76.4839397169372","3","CENTRO"
"CHAPINERO","3.44428218499245","-76.502484494689","3","CENTRO"
"VILLACOLOMBIA","3.44383954253718","-76.4991024009094","3","CENTRO"
"ATANASIO GIRARDOT","3.44481498030605","-76.5085476281698","3","CENTRO"
"FLORESTA","3.44524469691041","-76.5148320438954","3","CENTRO"
"VILLA NUEVA","3.4320953203622","-76.5101182138973","4","ORIENTE"
"SAN BOSCO","3.44210427482807","-76.5329592237468","3","CENTRO"
"ESTADIO","3.43136028767383","-76.5433749225134","3","CENTRO"
"ESTADIO","3.43136028767383","-76.5433749225134","3","CENTRO"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"UNIDAD DEPORTIVA","3.41432646569837","-76.5482149554339","2","SUR"
"UNIVALLE","3.37095244638537","-76.5369932534761","2","SUR"
"SUCRE","3.44329493503902","-76.5261648326476","4","ORIENTE"
"SUCRE","3.44329493503902","-76.5261648326476","4","ORIENTE"
"PETECUY","3.44845956177583","-76.5277138083573","3","CENTRO"
"SAN PEDRO","3.45384637947355","-76.5298314123795","1","NORTE"
"CENTRO","3.44801119892302","-76.5299371464294","3","CENTRO"
"SALOMIA","3.47361281665617","-76.5068188674386","1","NORTE"
"FRAY DAMIAN","3.44432952204878","-76.5289995551612","4","ORIENTE"
"CHIMINANGOS","3.48130662236413","-76.4983544862871","1","NORTE"
"PRADOS DEL NORTE","3.47427425696494","-76.5196556106238","1","NORTE"
"CIEN PALOS","3.4398103356365","-76.522518369508","4","ORIENTE"
"SIETE AGOSTO","3.44506799102323","-76.4875814710183","3","CENTRO"
"BELALCAZAR","3.44402100008543","-76.5209314646704","3","CENTRO"
"NUEVO AMANECER","3.42151641185895","-76.4906346476488","4","ORIENTE"
"SANTA LIBRADA","3.43935260358881","-76.5373915741497","3","CENTRO"
"SAN PASCUAL","3.44265715161853","-76.5281285653011","4","ORIENTE"
"SAN PASCUAL","3.44265715161853","-76.5281285653011","4","ORIENTE"
"PAMPALINDA","3.40358098672196","-76.5467474422483","2","SUR"
"REFUGIO","3.39847770030099","-76.5464255771778","2","SUR"
"UNIVERSIDADES","3.36714761458388","-76.52949647924","2","SUR"
"MELENDEZ","3.37690466220876","-76.5427170875342","2","SUR"
"UNIVERSIDADES","3.36714761458388","-76.52949647924","2","SUR"
"ERMITA","3.45297491831844","-76.5313634424706","1","NORTE"
"UNIVERSIDAD AUTONOMA","3.35313106078368","-76.5232273852276","2","SUR"
"UNILIBRE","3.36052571122697","-76.5274692789334","2","SUR"
"UNISANBUENAVENTURA","3.34407441792411","-76.5454776300823","2","SUR"
"UNIVERSIDAD ICESI","3.34037399245943","-76.5311277161693","2","SUR"
"CENTRO COMERCIAL UNICO-ANTIGUO SALOMIA","3.46477716572201","-76.4994033829522","1","NORTE"
"CENTRO COMERCIAL UNICO-NUEVO SALOMIA","3.46377049802488","-76.5025254740773","1","NORTE"
"CENTRO COMERCIAL CHIPICHAPE","3.47548675559081","-76.5297098575993","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"CENTRO COMERCIAL CENTENARIO","3.45361583526856","-76.5372227253109","1","NORTE"
"CENTRO COMERCIAL PRYCA","3.42592078385254","-76.5287465450421","4","ORIENTE"
"CENTRO COMERCIAL CALIMA","3.4845575887007","-76.4993786012427","1","NORTE"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"ESCUELA NACIONAL DEL DEPORTE","3.42633503150793","-76.5372798019901","2","SUR"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"CANAVERALEJO","3.41433985294095","-76.5486736132011","2","SUR"
"ANDRES SANIN","3.44332180671126","-76.4839397169372","3","CENTRO"
"MENGA","3.48890402204464","-76.5078521568375","1","NORTE"
"EDIFICIO METROCALI","3.46581000020835","-76.5229158357218","1","NORTE"
"TERMINAL AGUABLANCA","3.41430411223566","-76.4832167677381","4","ORIENTE"
"ANTONIO NARINO","3.41908852678783","-76.507876925235","4","ORIENTE"
"CIUDAD MODELO","3.41716926797267","-76.5099123931932","4","ORIENTE"
"CANAVERALES","3.40240230168301","-76.5235166505411","4","ORIENTE"
"MARKA RAPI BOCHALEMA","3.3586420127625","-76.5161003868977","2","SUR"
"TERMINAL AGUABLANCA","3.41430411223566","-76.4832167677381","4","ORIENTE"
"DIAMANTE","3.42298340609514","-76.5038946651781","4","ORIENTE"
"ANTONIO NARINO","3.41908852678783","-76.507876925235","4","ORIENTE"
"CIUDAD MODELO","3.41716926797267","-76.5099123931932","4","ORIENTE"
"CIUDAD MODELO","3.41716926797267","-76.5099123931932","4","ORIENTE"
"REPUBLICA ISRAEL","3.41236684842649","-76.5148964200037","4","ORIENTE"
"VILLA DEL SUR","3.41093185708434","-76.5163783886952","4","ORIENTE"
"VILLA DEL SUR","3.41093185708434","-76.5163783886952","4","ORIENTE"
"VILLA DEL SUR","3.41093185708434","-76.5163783886952","4","ORIENTE"
"MARIANO RAMOS","3.4072844377119","-76.5202611163308","4","ORIENTE"
"MARIANO RAMOS","3.4072844377119","-76.5202611163308","4","ORIENTE"
"MARIANO RAMOS","3.4072844377119","-76.5202611163308","4","ORIENTE"
"CANAVERALES","3.40240230168301","-76.5235166505411","4","ORIENTE"
"CANAVERALES","3.40240230168301","-76.5235166505411","4","ORIENTE"
"TERMINAL AGUABLANCA","3.41430411223566","-76.4832167677381","4","ORIENTE"
"DIAMANTE","3.42298340609514","-76.5038946651781","4","ORIENTE"
"DIAMANTE","3.42298340609514","-76.5038946651781","4","ORIENTE"
"ANTONIO NARINO","3.41908852678783","-76.507876925235","4","ORIENTE"
"CIUDAD MODELO","3.41716926797267","-76.5099123931932","4","ORIENTE"
"REPUBLICA ISRAEL","3.41236684842649","-76.5148964200037","4","ORIENTE"
"REPUBLICA ISRAEL","3.41236684842649","-76.5148964200037","4","ORIENTE"
"VILLA DEL SUR","3.41093185708434","-76.5163783886952","4","ORIENTE"
"MARIANO RAMOS","3.4072844377119","-76.5202611163308","4","ORIENTE"
"SIMON BOLIVAR","3.39652709064599","-76.5241494534741","4","ORIENTE"
"VILLA DEL SUR","3.41093185708434","-76.5163783886952","4","ORIENTE"
"TERMINAL AGUABLANCA","3.41430411223566","-76.4832167677381","4","ORIENTE"
"TERMINAL AGUABLANCA","3.41430411223566","-76.4832167677381","4","ORIENTE"
"CIUDAD MODELO","3.41716926797267","-76.5099123931932","4","ORIENTE"
"REPUBLICA ISRAEL","3.41236684842649","-76.5148964200037","4","ORIENTE"
"REPUBLICA ISRAEL","3.41236684842649","-76.5148964200037","4","ORIENTE"
"MARIANO RAMOS","3.4072844377119","-76.5202611163308","4","ORIENTE"
"BODEGA PATIO VALLE DE LILI GIT","3.36132215562008","-76.5227765096668","2","SUR"
"BODEGA PATIO UNIMETRO","3.43031239254451","-76.4760620690266","4","ORIENTE"
"BODEGA PATIO BLANCO Y NEGRO","3.49621027618945","-76.5064581710712","1","NORTE"
"BODEGA PATIO ETM AGUABLANCA","3.41065321791528","-76.4774879513188","4","ORIENTE"
